Rows,Change_MontipHard12,Change_AcropHard12,Change_PocHard12,Change_PavonaHard12,Change_PoritesHard12
B22X2AmbientDisturbed,10.759801274435684,1.5957446808510638,1.5957446808510638,1.5957446808510638,0.5319148936170213
B23X3AmbientDisturbed,-0.25123152709359786,0.9852216748768473,6.889162561576355,4.41871921182266,0.49261083743842365
B2OpenAmbientDisturbed,-1.0973707664884134,2.083333333333333,5.208333333333334,3.125,0
B31X1EnrichedIntact,-10.721792108973847,0.7209939606778941,-9.915662330060929,-2.4503152685769014,-0.4975124378109453
B32X2EnrichedIntact,-18.14132104454685,-4.639016897081413,-20.138248847926267,-1.3056835637480797,-2.7342549923195083
B33X3EnrichedIntact,-12.97208538587849,0.675059295748951,-8.392629082284255,3.8861521620142305,-3.4482758620689653
B3OpenEnrichedIntact,-16.47732758343256,0.9300679046117206,-3.9616387217198223,-4.457245840440254,-2.072538860103627
B41X1AmbientIntact,-12.831352529844992,-0.6088644279599054,-12.940363191619474,-0.6354523942463643,-2.6455026455026456
B42X2AmbientIntact,-11.330049261083744,-5.454588932995361,-17.014204409584387,-0.506958725907504,-0.9852216748768473
B43X3AmbientIntact,-17.733990147783253,-6.375718390804598,-12.228037766830873,0.11288998357963842,-1.4496100164203614
B4OpenAmbientIntact,-18.272968616668248,1.0050251256281406,-35.38683985967574,-0.8817673272020481,-1.3534654404095954
C11X1AmbientIntact,-15.800550429010848,0.49261083743842365,-3.422835865769329,-0.4463562987118111,-0.9389671361502347
C12X2AmbientIntact,-2.499165461221765,-6.2735061755869594,-15.88516746411483,-0.04005786135529088,-0.5585846222321131
C13X3AmbientIntact,-13.134605193428722,-4.851616322204558,-24.68468468468468,-0.930047694753577,-1.4705882352941175
C1OpenAmbientIntact,-17.307692307692307,0,-16.67175417175417,0.14499389499389492,-1.2973137973137974
C21X1AmbientDisturbed,9.330186158368221,6.310679611650485,2.4271844660194173,0.9708737864077669,0.48543689320388345
C22X2AmbientDisturbed,9.12942645615913,1.4851485148514851,0.9900990099009901,1.9801980198019802,0.49504950495049505
C23X3AmbientDisturbed,4.609059802870129,5.46448087431694,9.836065573770492,3.278688524590164,0.546448087431694
C2OpenAmbientDisturbed,-9.996283909327389,2.051282051282051,8.234856930509103,5.70048309178744,0.5425492382014121
C31X1EnrichedIntact,-15.950590762620836,1.6575529733424468,-10.055170393516256,-2.3923444976076556,-2.3923444976076556
C32X2EnrichedIntact,-10.952380952380953,-3.8095238095238098,-3.4065934065934087,0.29304029304029244,0
C33X3EnrichedIntact,-18.353664683939915,0.5494505494505495,-5.650771247101524,-0.18651073696945253,-2.2028430285311025
